ACCORDO;Tonalit� Maggiore;Tonalit� Minore Naturale;Grado in Maggiore;Grado in Minore
Do#7;Fa# maggiore;re# minore;V;VII
Do#-7;Si maggiore;sol# minore;ii;iv
Do#-7;La maggiore;fa# minore;iii;v
Do#-7;Mi maggiore;do# minore;vi;i
Do#maj7;Do# maggiore;la# minore;I;III
Do#m7b5;Re maggiore;si minore;vii;ii
Do7;Fa maggiore;re minore;V;VII
Do-7;Sib maggiore;sol minore;ii;iv
Do-7;Lab maggiore;fa minore;iii;v
Do-7;Mib maggiore;do minore;vi;i
Dobmaj7;Dob maggiore;lab minore;I;III
Dobmaj7;Solb maggiore;mib minore;IV;VI
Domaj7;Do maggiore;la minore;I;III
Domaj7;Sol maggiore;mi minore;IV;VI
Dom7b5;Reb maggiore;sib minore;vii;ii
Fa#7;Si maggiore;sol# minore;V;VII
Fa#-7;Mi maggiore;do# minore;ii;iv
Fa#-7;Re maggiore;si minore;iii;v
Fa#-7;La maggiore;fa# minore;vi;i
Fa#maj7;Fa# maggiore;re# minore;I;III
Fa#maj7;Do# maggiore;la# minore;IV;VI
Fa#m7b5;Sol maggiore;mi minore;vii;ii
Fa7;Sib maggiore;sol minore;V;VII
Fa-7;Mib maggiore;do minore;ii;iv
Fa-7;Reb maggiore;sib minore;iii;v
Fa-7;Lab maggiore;fa minore;vi;i
Fabmaj7;Dob maggiore;lab minore;IV;VI
Famaj7;Fa maggiore;re minore;I;III
Famaj7;Do maggiore;la minore;IV;VI
Fam7b5;Solb maggiore;mib minore;vii;ii
La#-7;Fa# maggiore;re# minore;iii;v
La#-7;Do# maggiore;la# minore;vi;i
La#m7b5;Si maggiore;sol# minore;vii;ii
La7;Re maggiore;si minore;V;VII
La-7;Sol maggiore;mi minore;ii;iv
La-7;Fa maggiore;re minore;iii;v
La-7;Do maggiore;la minore;vi;i
Lab7;Reb maggiore;sib minore;V;VII
Lab-7;Solb maggiore;mib minore;ii;iv
Lab-7;Dob maggiore;lab minore;vi;i
Labmaj7;Lab maggiore;fa minore;I;III
Labmaj7;Mib maggiore;do minore;IV;VI
Lamaj7;La maggiore;fa# minore;I;III
Lamaj7;Mi maggiore;do# minore;IV;VI
Lam7b5;Sib maggiore;sol minore;vii;ii
Mi#-7;Do# maggiore;la# minore;iii;v
Mi#m7b5;Fa# maggiore;re# minore;vii;ii
Mi7;La maggiore;fa# minore;V;VII
Mi-7;Re maggiore;si minore;ii;iv
Mi-7;Do maggiore;la minore;iii;v
Mi-7;Sol maggiore;mi minore;vi;i
Mib7;Lab maggiore;fa minore;V;VII
Mib-7;Reb maggiore;sib minore;ii;iv
Mib-7;Dob maggiore;lab minore;iii;v
Mib-7;Solb maggiore;mib minore;vi;i
Mibmaj7;Mib maggiore;do minore;I;III
Mibmaj7;Sib maggiore;sol minore;IV;VI
Mimaj7;Mi maggiore;do# minore;I;III
Mimaj7;Si maggiore;sol# minore;IV;VI
Mim7b5;Fa maggiore;re minore;vii;ii
Re#-7;Do# maggiore;la# minore;ii;iv
Re#-7;Si maggiore;sol# minore;iii;v
Re#-7;Fa# maggiore;re# minore;vi;i
Re#m7b5;Mi maggiore;do# minore;vii;ii
Re7;Sol maggiore;mi minore;V;VII
Re-7;Do maggiore;la minore;ii;iv
Re-7;Sib maggiore;sol minore;iii;v
Re-7;Fa maggiore;re minore;vi;i
Reb7;Solb maggiore;mib minore;V;VII
Reb-7;Dob maggiore;lab minore;ii;iv
Rebmaj7;Reb maggiore;sib minore;I;III
Rebmaj7;Lab maggiore;fa minore;IV;VI
Remaj7;Re maggiore;si minore;I;III
Remaj7;La maggiore;fa# minore;IV;VI
Rem7b5;Mib maggiore;do minore;vii;ii
Si#m7b5;Do# maggiore;la# minore;vii;ii
Si7;Mi maggiore;do# minore;V;VII
Si-7;La maggiore;fa# minore;ii;iv
Si-7;Sol maggiore;mi minore;iii;v
Si-7;Re maggiore;si minore;vi;i
Sib7;Mib maggiore;do minore;V;VII
Sib-7;Lab maggiore;fa minore;ii;iv
Sib-7;Solb maggiore;mib minore;iii;v
Sib-7;Reb maggiore;sib minore;vi;i
Sibmaj7;Sib maggiore;sol minore;I;III
Sibmaj7;Fa maggiore;re minore;IV;VI
Sibm7b5;Dob maggiore;lab minore;vii;ii
Simaj7;Si maggiore;sol# minore;I;III
Simaj7;Fa# maggiore;re# minore;IV;VI
Sim7b5;Do maggiore;la minore;vii;ii
Sol#7;Do# maggiore;la# minore;V;VII
Sol#-7;Fa# maggiore;re# minore;ii;iv
Sol#-7;Mi maggiore;do# minore;iii;v
Sol#-7;Si maggiore;sol# minore;vi;i
Sol#m7b5;La maggiore;fa# minore;vii;ii
Sol7;Do maggiore;la minore;V;VII
Sol-7;Fa maggiore;re minore;ii;iv
Sol-7;Mib maggiore;do minore;iii;v
Sol-7;Sib maggiore;sol minore;vi;i
Solb7;Dob maggiore;lab minore;V;VII
Solbmaj7;Solb maggiore;mib minore;I;III
Solbmaj7;Reb maggiore;sib minore;IV;VI
Solmaj7;Sol maggiore;mi minore;I;III
Solmaj7;Re maggiore;si minore;IV;VI
Solm7b5;Lab maggiore;fa minore;vii;ii
